User,UserName,
Number,202401241931,
Material,,
Sample,,
area,,
length,,
size,,
strainRate,,
samplingRate,1,
testManner,,
driveBox,1,
motorSpeed,,
maxMotorSpeed,,
motorLength,,
maxMotorLength,,
motorCircle,,
sensorBox,1,
weighForce,,
maxWeighForce,,
CurrentTime,2024-01-24-19:31:42,
more,,
0.204,nan,0,0,
0.405,nan,0,0,
0.611,inf,0,0.841471,
0.813,inf,0,0.841471,
1.021,inf,0,1.81859,
1.218,inf,0,1.81859,
1.42,inf,0,1.81859,
1.623,inf,0,0.42336,
1.829,inf,0,0.42336,
2.028,inf,0,3.02721,
2.237,inf,0,3.02721,
2.435,inf,0,3.02721,
2.643,inf,0,4.79462,
2.842,inf,0,4.79462,
3.05,inf,0,1.67649,
3.248,inf,0,1.67649,
3.453,inf,0,1.67649,
3.656,inf,0,4.59891,
3.865,inf,0,4.59891,
4.061,inf,0,7.91487,
4.267,inf,0,7.91487,
4.469,inf,0,7.91487,
4.669,inf,0,3.70907,
4.875,inf,0,3.70907,
5.076,inf,0,5.44021,
5.28,inf,0,5.44021,
5.483,inf,0,5.44021,
5.685,inf,0,10.9999,
5.896,inf,0,10.9999,
6.092,inf,0,6.43888,
6.301,inf,0,6.43888,
6.498,inf,0,5.46217,
6.701,inf,0,5.46217,
6.907,inf,0,5.46217,
7.115,inf,0,13.8685,
7.312,inf,0,13.8685,
7.517,inf,0,9.75432,
7.719,inf,0,9.75432,
7.919,inf,0,9.75432,
8.122,inf,0,4.60645,
