User,UserName,
Number,202401241943,
Material,,
Sample,,
area,,
length,,
size,,
strainRate,,
samplingRate,101,
testManner,,
driveBox,1,
motorSpeed,,
maxMotorSpeed,,
motorLength,,
maxMotorLength,,
motorCircle,,
sensorBox,1,
weighForce,,
maxWeighForce,,
CurrentTime,2024-01-24-19:43:26,
more,,
time,stress,Theoretical displacement,Actual displacement,
0.01,nan,0,0,
0.02,inf,0,0.841471,
0.034,inf,0,1.81859,
0.049,inf,0,0.42336,
0.068,inf,0,4.79462,
0.086,inf,0,1.67649,
0.105,inf,0,1.67649,
0.122,inf,0,4.59891,
0.141,inf,0,7.91487,
0.161,inf,0,3.70907,
0.178,inf,0,5.44021,
0.191,inf,0,10.9999,
0.207,inf,0,5.46217,
0.224,inf,0,13.8685,
0.24,inf,0,9.75432,
0.256,inf,0,4.60645,
0.272,inf,0,16.3438,
0.291,inf,0,13.5178,
0.307,inf,0,2.84767,
0.326,inf,0,17.5698,
0.342,inf,0,17.5698,
0.355,inf,0,0.194729,
0.372,inf,0,19.4631,
0.387,inf,0,21.7339,
0.399,inf,0,3.30879,
0.415,inf,0,19.8265,
0.429,inf,0,25.8222,
0.441,inf,0,7.58536,
0.453,inf,0,19.2454,
0.468,inf,0,29.6409,
0.479,inf,0,12.5252,
0.496,inf,0,32.9971,
0.513,inf,0,32.9971,
0.523,inf,0,17.9888,
0.54,inf,0,35.704,
0.551,inf,0,23.8109,
0.569,inf,0,23.8109,
0.586,inf,0,11.262,
0.603,inf,0,29.8045,
0.615,inf,0,6.50353,
0.63,inf,0,6.50353,
0.641,inf,0,38.4939,
0.656,inf,0,35.7663,
0.668,inf,0,0.778885,
0.683,inf,0,38.2907,
0.694,inf,0,41.4823,
0.712,inf,0,5.80794,
0.725,inf,0,36.8762,
0.737,inf,0,46.7339,
0.748,inf,0,13.1187,
0.766,inf,0,34.1817,
0.779,inf,0,51.3046,
0.793,inf,0,20.984,
0.809,inf,0,54.9865,
0.821,inf,0,29.2069,
0.838,inf,0,29.2069,
0.852,inf,0,57.5866,
0.864,inf,0,37.5675,
0.876,inf,0,18.2886,
0.89,inf,0,18.2886,
0.902,inf,0,58.9332,
0.917,inf,0,10.5434,
0.929,inf,0,58.8817,
0.943,inf,0,58.8817,
0.954,inf,0,53.7439,
0.966,inf,0,1.75238,
0.981,inf,0,57.3198,
0.993,inf,0,61.0591,
1.009,inf,0,7.92015,
1.024,inf,0,54.1723,
1.037,inf,0,67.5249,
1.054,inf,0,18.2753,
1.057,inf,0,49.4044,
1.07,inf,0,49.4044,
1.082,inf,0,72.9008,
1.097,inf,0,43.0242,
1.108,inf,0,76.9631,
1.125,inf,0,76.9631,
1.137,inf,0,40.0903,
1.154,inf,0,79.5111,
1.17,inf,0,79.5111,
1.184,inf,0,51.0209,
1.197,inf,0,25.6848,
1.204,inf,0,80.3743,
1.218,inf,0,61.588,
1.235,inf,0,61.588,
1.251,inf,0,79.4174,
1.263,inf,0,71.4982,
1.28,inf,0,3.11505,
1.296,inf,0,76.5462,
1.308,inf,0,80.4597,
1.321,inf,0,80.4597,
1.334,inf,0,9.64486,
1.35,inf,0,71.7109,
1.353,inf,0,88.1902,
1.369,inf,0,88.1902,
1.386,inf,0,64.9099,
1.399,inf,0,94.4244,
1.412,inf,0,94.4244,
1.425,inf,0,36.822,
1.442,inf,0,98.9215,
1.458,inf,0,98.9215,
1.471,inf,0,50.6366,
1.488,inf,0,45.6546,
1.504,inf,0,64.1678,
1.507,inf,0,64.1678,
1.522,inf,0,33.4487,
1.539,inf,0,77.0771,
1.551,inf,0,19.7716,
1.571,inf,0,100.096,
1.584,inf,0,89.0249,
1.595,inf,0,4.86669,
1.614,inf,0,95.9652,
1.628,inf,0,95.9652,
1.639,inf,0,99.6795,
1.655,inf,0,10.9816,
1.666,inf,0,89.4878,
1.681,inf,0,108.725,
1.696,inf,0,80.6947,
1.713,inf,0,115.87,
1.728,inf,0,115.87,
1.73,inf,0,44.1971,
1.745,inf,0,69.6733,
1.757,inf,0,120.857,
1.776,inf,0,120.857,
1.789,inf,0,60.843,
1.802,inf,0,56.5681,
1.818,inf,0,77.0051,
1.829,inf,0,77.0051,
1.845,inf,0,41.5788,
1.848,inf,0,123.524,
1.863,inf,0,123.524,
1.876,inf,0,92.2928,
1.89,inf,0,24.9581,
1.903,inf,0,24.9581,
1.916,inf,0,120.914,
1.928,inf,0,106.32,
1.943,inf,0,7.00703,
1.956,inf,0,7.00703,
1.973,inf,0,115.572,
1.99,inf,0,11.9298,
2.007,inf,0,11.9298,
2.01,inf,0,107.499,
2.023,inf,0,107.499,
2.036,inf,0,31.4712,
2.051,inf,0,96.7551,
2.063,inf,0,96.7551,
2.079,inf,0,137.234,
2.091,inf,0,51.2072,
2.109,inf,0,142.763,
2.124,inf,0,142.763,
2.131,inf,0,70.7071,
2.145,inf,0,67.823,
2.16,inf,0,145.484,
2.175,inf,0,89.5295,
2.19,inf,0,50.0733,
2.206,inf,0,50.0733,
2.222,inf,0,145.223,
2.237,inf,0,107.231,
2.249,inf,0,30.5246,
2.263,inf,0,30.5246,
2.278,inf,0,141.865,
2.293,inf,0,9.53573,
2.305,inf,0,135.363,
2.321,inf,0,135.363,
2.334,inf,0,137.558,
2.348,inf,0,12.4891,
2.361,inf,0,125.74,
2.375,inf,0,125.74,
2.388,inf,0,149.384,
2.402,inf,0,35.108,
2.414,inf,0,113.088,
2.428,inf,0,113.088,
2.44,inf,0,158.509,
2.456,inf,0,57.8504,
2.468,inf,0,97.569,
2.483,inf,0,164.637,
