User,,
Number,202402221727,
Material,,
Sample,,
area,,
length,,
size,,
strainRate,,
samplingRate,10,
testManner,拉伸,
driveBox,1,
motorSpeed,5.00,
maxMotorSpeed,,
motorLength,99.00,
maxMotorLength,,
motorCircle,,
sensorBox,2,
weighForce,,
maxWeighForce,,
CurrentTime,2024-02-22-17:27:01,
more,,
0,-0.2424,
0,-0.2424,
0,-0.2424,
-98.9997,-0.2143,
-98.9997,-0.2143,
-98.9997,-0.2143,
-98.9997,-0.2143,
-98.9997,-0.2143,
-96.4367,-0.231,
-95.8167,-0.2375,
-95.1753,-0.2518,
-94.8833,-0.2605,
-94.2661,-0.2792,
-93.6325,-0.2875,
-92.9783,-0.3002,
-92.6847,-0.3053,
-92.0253,-0.3143,
-91.4064,-0.3176,
-90.7781,-0.3215,
-90.4586,-0.3222,
-89.8594,-0.322,
-89.2439,-0.321,
-88.6181,-0.3175,
-88.3136,-0.3154,
-87.6772,-0.3068,
-87.0522,-0.3008,
-86.4256,-0.294,
-86.1103,-0.2798,
-85.4283,-0.265,
-84.8583,-0.2581,
-84.5361,-0.251,
-83.9306,-0.2401,
-83.285,-0.2362,
-82.6519,-0.2292,
-82.2744,-0.2261,
-81.6594,-0.2236,
-81.3353,-0.2206,
-80.69,-0.2233,
-80.1194,-0.2233,
-79.3139,-0.2333,
-78.9914,-0.2377,
-78.3833,-0.2465,
-77.77,-0.2501,
-77.1397,-0.2526,
-76.8275,-0.2538,
-76.1817,-0.2525,
-75.5575,-0.2519,
-74.9269,-0.2512,
-74.6122,-0.2501,
-73.9992,-0.2495,
-73.3439,-0.2489,
-72.7308,-0.2485,
-72.4261,-0.2482,
-71.7967,-0.2482,
-71.1658,-0.2482,
-70.5453,-0.2488,
-70.2386,-0.2498,
-69.5872,-0.2507,
-68.9831,-0.2517,
-68.3411,-0.2542,
-68.0539,-0.2574,
-67.3953,-0.2588,
-66.8017,-0.2604,
-66.1556,-0.2625,
-65.8375,-0.264,
-65.1872,-0.2646,
-64.5758,-0.265,
-63.9633,-0.265,
-63.6389,-0.2649,
-63.0283,-0.2641,
-62.3783,-0.264,
-61.7628,-0.2639,
-61.4425,-0.2637,
-60.8244,-0.2638,
-60.1989,-0.2639,
-59.5594,-0.2643,
-59.2792,-0.2648,
-58.6336,-0.2652,
-58.0125,-0.2653,
-57.3778,-0.2654,
-57.0692,-0.2652,
-56.4306,-0.2649,
-55.8044,-0.2647,
-55.1781,-0.2646,
-54.8639,-0.2642,
-54.2497,-0.2638,
-53.6203,-0.2636,
-52.9919,-0.2635,
-52.6717,-0.2635,
-52.04,-0.2635,
-51.4208,-0.2635,
-50.7858,-0.2636,
-50.4778,-0.2637,
-49.8569,-0.2635,
-49.2211,-0.2635,
-48.5975,-0.2634,
-48.2753,-0.2638,
-47.6483,-0.2639,
-47.0294,-0.264,
-46.4011,-0.2641,
-46.0942,-0.2647,
-45.4397,-0.2649,
-44.8322,-0.265,
-44.1886,-0.2648,
-43.8953,-0.2648,
-43.2564,-0.2648,
-42.6458,-0.2649,
-41.9997,-0.2651,
-41.6881,-0.2652,
-41.0814,-0.2653,
-40.44,-0.2654,
-39.8092,-0.2659,
-39.4881,-0.2661,
-38.8581,-0.2662,
-38.2406,-0.2664,
-37.6272,-0.2665,
-37.3119,-0.2667,
-36.6633,-0.2669,
-36.0581,-0.267,
-35.4069,-0.2672,
-35.1178,-0.2676,
-34.4636,-0.2678,
-33.8647,-0.2678,
-33.2167,-0.2679,
-32.9061,-0.268,
-32.2892,-0.2677,
-31.645,-0.2674,
-31.0394,-0.2673,
-30.7231,-0.2671,
-30.1039,-0.2673,
-29.4619,-0.2673,
-28.8486,-0.2673,
-28.5272,-0.2676,
-27.895,-0.2678,
-27.2731,-0.2678,
-26.6381,-0.2682,
-26.3269,-0.2683,
-25.6978,-0.2683,
